start,end
1368754417640371, 1368762376901649
1368762378476741, 1368762379492665
1368762381233665, 1368762382253686
1368762383520519, 1368762384541564
1368762384759700, 1368762387834101
1368762388053262, 1368762389078403
1368762389305757, 1368762390324754
1368762390553132, 1368762391569056
1368762391787193, 1368762392809262
1368762393027399, 1368762394048444
1368762394266581, 1368762395287626
1368762395504739, 1368762396526808
1368762396744945, 1368762397765990
1368762397984127, 1368762399005172
1368762399223309, 1368762400244354
1368762400462491, 1368762401487632
1368762401707817, 1368762402728862
1368762402957240, 1368762403976237
1368762404202567, 1368762409325202
1368762409544363, 1368762410565408
