1368919411601848, 1368921911349559
1368921912776115, 1368921913792011
1368921915411096, 1368921916432112
1368921917697886, 1368921918718903
1368921918938058, 1368921923037486
1368921923255617, 1368921924279706
1368921924509101, 1368921925528070
1368921925755418, 1368921926771314
1368921926989445, 1368921928010461
1368921928228592, 1368921929250633
1368921929468764, 1368921930489781
1368921930707911, 1368921931728928
1368921931946035, 1368921932968076
1368921933186207, 1368921934207223
1368921934425354, 1368921935447395
1368921935665526, 1368921936689615
1368921936908770, 1368921937930810
1368921938158158, 1368921939177127
1368921939403450, 1368921944525943
1368921944746122, 1368921945767138
